"WindSpeed9am","WindSpeed3pm"
"6","20"
"4","17"
"6","6"
"30","24"
"20","28"
"20","24"
"19","26"
"11","24"
"19","17"
"7","6"
"6","9"
"2","15"
"6","7"
"7","20"
"6","20"
"7","9"
"6","19"
"6","11"
"4","17"
"2","13"
"2","31"
"6","11"
"13","13"
"6","9"
"9","15"
"6","22"
"20","17"
"6","11"
"7","17"
"6","6"
"6","20"
"6","9"
"13","35"
"20","26"
"11","30"
"13","9"
"6","6"
"7","13"
"9","24"
"11","6"
"9","15"
"15","24"
"22","20"
"6","11"
"2","13"
"6","7"
"13","20"
"13","20"
"7","6"
"4","13"
"6","22"
"41","30"
"9","20"
"7","13"
"11","11"
"6","19"
"7","48"
"6","13"
"6","7"
"6","22"
"7","9"
"2","11"
"2","9"
"20","24"
"24","26"
"7","15"
"6","19"
"11","11"
"7","9"
"13","11"
"6","11"
"6","19"
"4","17"
"6","24"
"13","19"
"7","15"
"15","20"
"20","28"
"17","19"
"9","13"
"19","28"
"17","22"
"11","7"
"7","7"
"6","11"
"9","17"
"4","7"
"4","26"
"4","24"
"6","11"
"6","13"
"13","13"
"11","11"
"7","11"
"9","17"
"7","13"
"7","11"
"6","24"
"11","20"
"7","20"
"15","17"
"17","13"
"7","13"
"9","17"
"13","15"
"11","9"
"7","7"
"7","19"
"9","13"
"7","11"
"6","15"
"2","9"
"4","7"
"NA","28"
"20","26"
"15","30"
"9","7"
"4","17"
"NA","30"
"13","13"
"24","17"
"15","15"
"7","11"
"6","9"
"6","7"
"7","6"
"6","9"
"NA","9"
"6","9"
"7","11"
"6","9"
"11","7"
"6","28"
"7","7"
"9","13"
"7","4"
"4","6"
"9","13"
"0","19"
"4","15"
"0","26"
"9","17"
"6","17"
"6","7"
"6","19"
"11","20"
"17","20"
"7","17"
"7","19"
"9","22"
"6","31"
"19","26"
"7","11"
"2","37"
"26","33"
"6","7"
"7","7"
"7","11"
"11","11"
"15","9"
"9","6"
"4","6"
"2","7"
"6","11"
"13","15"
"9","20"
"7","9"
"9","13"
"7","7"
"17","11"
"13","22"
"11","30"
"9","7"
"13","22"
"0","7"
"7","9"
"0","7"
"2","20"
"26","31"
"26","22"
"0","9"
"2","19"
"6","26"
"6","28"
"6","13"
"2","15"
"2","19"
"7","26"
"17","30"
"0","9"
"2","9"
"2","9"
"6","11"
"4","15"
"7","15"
"NA","20"
"2","20"
"9","15"
"30","24"
"13","26"
"0","24"
"6","24"
"2","7"
"7","6"
"11","6"
"6","6"
"6","15"
"6","6"
"0","13"
"0","6"
"7","7"
"2","15"
"0","7"
"NA","7"
"6","6"
"9","11"
"9","20"
"6","20"
"11","4"
"4","11"
"6","13"
"6","19"
"2","0"
"22","17"
"15","24"
"19","28"
"7","24"
"24","26"
"17","9"
"7","7"
"6","9"
"6","7"
"6","7"
"6","19"
"9","9"
"7","15"
"2","28"
"0","28"
"20","28"
"7","24"
"6","9"
"6","22"
"22","28"
"33","33"
"31","30"
"7","20"
"4","13"
"NA","2"
"2","22"
"0","13"
"0","15"
"9","15"
"31","35"
"20","31"
"2","7"
"0","15"
"7","22"
"NA","17"
"6","9"
"0","24"
"24","33"
"15","22"
"0","6"
"26","31"
"2","28"
"6","11"
"7","13"
"7","13"
"2","19"
"6","13"
"28","37"
"19","22"
"0","15"
"0","26"
"19","28"
"28","31"
"4","24"
"4","19"
"0","26"
"30","22"
"7","26"
"6","30"
"6","24"
"30","24"
"9","30"
"22","24"
"20","30"
"28","39"
"28","33"
"24","28"
"9","17"
"7","30"
"4","20"
"13","24"
"15","30"
"15","26"
"30","17"
"2","11"
"7","19"
"0","26"
"9","13"
"6","15"
"0","20"
"4","6"
"24","15"
"20","28"
"2","13"
"17","20"
"11","17"
"13","13"
"19","24"
"7","22"
"0","11"
"9","22"
"6","20"
"4","20"
"9","26"
"20","26"
"39","30"
"31","52"
"26","31"
"6","7"
"2","28"
"9","28"
"15","41"
"13","33"
"2","20"
"15","22"
"4","6"
"4","13"
"20","26"
"2","24"
"31","30"
"6","22"
"6","28"
"6","30"
"15","28"
"31","41"
"20","19"
"7","19"
"24","33"
"11","28"
"2","26"
"2","9"
"6","19"
"2","17"
"4","11"
"6","33"
"7","24"
"4","7"
"2","9"
"0","26"
"4","20"
"2","26"
"6","31"
"11","11"
"35","37"
"26","15"
"2","17"
"4","19"
"0","19"
"7","50"
"2","19"
"11","9"
"6","28"
"31","35"
